,EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,YearlyIncome,Attrition
10,1363,48.0,Travel_Rarely,855.0,Research & Development,4.0,3.0,Life Sciences,1.0,4.0,Male,54.0,3.0,3.0,Manufacturing Director,4.0,Single,7898.0,18706.0,1.0,Y,No,11.0,3.0,3.0,80.0,0.0,11.0,2.0,3.0,10.0,9.0,0.0,8.0,94776.0,No
11,1799,28.0,Travel_Rarely,1181.0,Research & Development,1.0,3.0,Life Sciences,1.0,3.0,Male,82.0,3.0,1.0,Research Scientist,4.0,Married,2044.0,5531.0,1.0,Y,No,11.0,3.0,3.0,80.0,1.0,5.0,6.0,4.0,5.0,3.0,0.0,3.0,24528.0,No
12,42,39.0,Travel_Rarely,895.0,Sales,5.0,3.0,Technical Degree,1.0,4.0,Male,56.0,3.0,2.0,Sales Representative,4.0,Married,2086.0,3335.0,3.0,Y,No,14.0,3.0,3.0,80.0,1.0,19.0,6.0,4.0,1.0,0.0,0.0,0.0,25032.0,Yes
13,724,38.0,Travel_Rarely,827.0,Research & Development,1.0,4.0,Life Sciences,1.0,2.0,Female,33.0,4.0,2.0,Healthcare Representative,4.0,Single,7625.0,19383.0,0.0,Y,No,13.0,3.0,3.0,80.0,0.0,10.0,4.0,2.0,9.0,7.0,1.0,8.0,91500.0,No
14,1671,32.0,Travel_Rarely,977.0,Research & Development,2.0,3.0,Medical,1.0,4.0,Male,45.0,3.0,2.0,Research Scientist,2.0,Divorced,5470.0,25518.0,0.0,Y,No,13.0,3.0,3.0,80.0,2.0,10.0,4.0,2.0,9.0,5.0,1.0,6.0,65640.0,No
15,1624,18.0,Travel_Frequently,544.0,Sales,3.0,2.0,Medical,1.0,2.0,Female,70.0,3.0,1.0,Sales Representative,4.0,Single,1569.0,18420.0,1.0,Y,Yes,12.0,3.0,3.0,80.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,18828.0,Yes
16,1778,43.0,Travel_Rarely,244.0,Human Resources,2.0,3.0,Life Sciences,1.0,2.0,Male,97.0,3.0,1.0,Human Resources,4.0,Single,3539.0,5033.0,0.0,Y,No,13.0,3.0,2.0,80.0,0.0,10.0,5.0,3.0,9.0,7.0,1.0,8.0,42468.0,No
17,930,28.0,Travel_Rarely,995.0,Research & Development,9.0,3.0,Medical,1.0,3.0,Female,77.0,3.0,1.0,Research Scientist,3.0,Divorced,2377.0,9834.0,5.0,Y,No,18.0,3.0,2.0,80.0,1.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,28524.0,No
18,514,30.0,Travel_Frequently,464.0,Research & Development,4.0,3.0,Technical Degree,1.0,3.0,Male,40.0,3.0,1.0,Research Scientist,4.0,Single,2285.0,3427.0,9.0,Y,Yes,23.0,4.0,3.0,80.0,0.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,27420.0,Yes
19,669,21.0,Travel_Rarely,1343.0,Sales,22.0,1.0,Technical Degree,1.0,3.0,Male,49.0,3.0,1.0,Sales Representative,3.0,Single,3447.0,24444.0,1.0,Y,No,11.0,3.0,3.0,80.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,41364.0,No
20,32,53.0,Travel_Rarely,1282.0,Research & Development,5.0,3.0,Other,1.0,3.0,Female,58.0,3.0,5.0,Manager,3.0,Divorced,19094.0,10735.0,4.0,Y,No,11.0,3.0,4.0,80.0,1.0,26.0,3.0,2.0,14.0,13.0,4.0,8.0,229128.0,No
21,1015,30.0,Travel_Rarely,153.0,Research & Development,8.0,2.0,Life Sciences,1.0,2.0,Female,73.0,4.0,3.0,Research Director,1.0,Married,11416.0,17802.0,0.0,Y,Yes,12.0,3.0,3.0,80.0,3.0,9.0,4.0,2.0,8.0,7.0,1.0,7.0,136992.0,No
22,1858,28.0,Non-Travel,280.0,Human Resources,1.0,2.0,Life Sciences,1.0,3.0,Male,43.0,3.0,1.0,Human Resources,4.0,Divorced,2706.0,10494.0,1.0,Y,No,15.0,3.0,2.0,80.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,32472.0,No
23,1383,34.0,Travel_Rarely,404.0,Research & Development,2.0,4.0,Technical Degree,1.0,3.0,Female,98.0,3.0,2.0,Healthcare Representative,4.0,Single,6687.0,6163.0,1.0,Y,No,11.0,3.0,4.0,80.0,0.0,14.0,2.0,4.0,14.0,11.0,4.0,11.0,80244.0,No
24,894,42.0,Travel_Rarely,1265.0,Research & Development,3.0,3.0,Life Sciences,1.0,3.0,Female,95.0,4.0,2.0,Laboratory Technician,4.0,Married,5231.0,23726.0,2.0,Y,Yes,13.0,3.0,2.0,80.0,1.0,17.0,1.0,2.0,5.0,3.0,1.0,3.0,62772.0,No
25,336,45.0,Travel_Rarely,252.0,Research & Development,1.0,3.0,Other,1.0,3.0,Male,70.0,4.0,5.0,Manager,4.0,Married,19202.0,15970.0,0.0,Y,No,11.0,3.0,3.0,80.0,1.0,25.0,2.0,3.0,24.0,0.0,1.0,7.0,230424.0,No
26,208,29.0,Non-Travel,1496.0,Research & Development,1.0,1.0,Technical Degree,1.0,4.0,Male,41.0,3.0,2.0,Manufacturing Director,3.0,Married,4319.0,26283.0,1.0,Y,No,13.0,3.0,1.0,80.0,1.0,10.0,1.0,3.0,10.0,7.0,0.0,9.0,51828.0,No
27,684,45.0,Travel_Frequently,306.0,Sales,26.0,4.0,Life Sciences,1.0,1.0,Female,100.0,3.0,2.0,Sales Executive,1.0,Married,4286.0,5630.0,2.0,Y,No,14.0,3.0,4.0,80.0,2.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0,51432.0,Yes
28,362,32.0,Travel_Rarely,128.0,Research & Development,2.0,1.0,Technical Degree,1.0,4.0,Male,84.0,2.0,2.0,Laboratory Technician,1.0,Single,2176.0,19737.0,4.0,Y,No,13.0,3.0,4.0,80.0,0.0,9.0,5.0,3.0,6.0,2.0,0.0,4.0,26112.0,No
29,364,28.0,Travel_Rarely,529.0,Research & Development,2.0,4.0,Life Sciences,1.0,1.0,Male,79.0,3.0,1.0,Laboratory Technician,3.0,Single,3485.0,14935.0,2.0,Y,No,11.0,3.0,3.0,80.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,41820.0,Yes
30,428,33.0,Travel_Frequently,553.0,Research & Development,5.0,4.0,Life Sciences,1.0,4.0,Female,74.0,3.0,3.0,Manager,2.0,Married,11878.0,23364.0,6.0,Y,No,11.0,3.0,2.0,80.0,2.0,12.0,2.0,3.0,10.0,6.0,8.0,8.0,142536.0,No
31,1836,26.0,Travel_Rarely,572.0,Sales,10.0,3.0,Medical,1.0,3.0,Male,46.0,3.0,2.0,Sales Executive,4.0,Single,4684.0,9125.0,1.0,Y,No,13.0,3.0,1.0,80.0,0.0,5.0,4.0,3.0,5.0,3.0,1.0,2.0,56208.0,No
32,1893,26.0,Travel_Rarely,482.0,Research & Development,1.0,2.0,Life Sciences,1.0,2.0,Female,90.0,2.0,1.0,Research Scientist,3.0,Married,2933.0,14908.0,1.0,Y,Yes,13.0,3.0,3.0,80.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,35196.0,No
33,837,38.0,Travel_Frequently,471.0,Research & Development,12.0,3.0,Life Sciences,1.0,1.0,Male,45.0,2.0,2.0,Healthcare Representative,1.0,Divorced,6288.0,4284.0,2.0,Y,No,15.0,3.0,3.0,80.0,1.0,13.0,3.0,2.0,4.0,3.0,1.0,2.0,75456.0,No
34,1085,41.0,Travel_Rarely,509.0,Research & Development,7.0,2.0,Technical Degree,1.0,2.0,Female,43.0,4.0,1.0,Research Scientist,3.0,Married,3376.0,18863.0,1.0,Y,No,13.0,3.0,3.0,80.0,0.0,10.0,3.0,3.0,10.0,6.0,0.0,8.0,40512.0,No
35,881,35.0,Travel_Frequently,130.0,Research & Development,25.0,4.0,Life Sciences,1.0,4.0,Female,96.0,3.0,1.0,Research Scientist,2.0,Divorced,2022.0,16612.0,1.0,Y,Yes,19.0,3.0,1.0,80.0,1.0,10.0,3.0,2.0,10.0,2.0,7.0,8.0,24264.0,Yes
36,1725,24.0,Travel_Rarely,506.0,Research & Development,29.0,1.0,Medical,1.0,2.0,Male,91.0,3.0,1.0,Laboratory Technician,1.0,Divorced,3907.0,3622.0,1.0,Y,No,13.0,3.0,2.0,80.0,3.0,6.0,2.0,4.0,6.0,2.0,1.0,2.0,46884.0,No
37,1125,38.0,Travel_Rarely,130.0,Sales,2.0,2.0,Marketing,1.0,4.0,Male,32.0,3.0,3.0,Sales Executive,2.0,Single,7351.0,20619.0,7.0,Y,No,16.0,3.0,3.0,80.0,0.0,10.0,2.0,3.0,1.0,0.0,0.0,0.0,88212.0,No
38,1361,40.0,Travel_Rarely,329.0,Research & Development,1.0,4.0,Life Sciences,1.0,2.0,Male,88.0,3.0,1.0,Laboratory Technician,2.0,Married,2387.0,6762.0,3.0,Y,No,22.0,4.0,3.0,80.0,1.0,7.0,3.0,3.0,4.0,2.0,0.0,3.0,28644.0,No
39,1161,37.0,Travel_Rarely,367.0,Research & Development,25.0,2.0,Medical,1.0,3.0,Female,52.0,2.0,2.0,Healthcare Representative,4.0,Divorced,5731.0,17171.0,7.0,Y,No,13.0,3.0,3.0,80.0,2.0,9.0,2.0,3.0,6.0,2.0,1.0,3.0,68772.0,No
40,1428,30.0,Travel_Rarely,855.0,Sales,7.0,4.0,Marketing,1.0,4.0,Female,73.0,3.0,2.0,Sales Executive,1.0,Divorced,4779.0,12761.0,7.0,Y,No,14.0,3.0,2.0,80.0,2.0,8.0,3.0,3.0,3.0,2.0,0.0,2.0,57348.0,No
41,975,35.0,Travel_Rarely,1219.0,Sales,18.0,3.0,Medical,1.0,3.0,Female,86.0,3.0,2.0,Sales Executive,3.0,Married,4601.0,6179.0,1.0,Y,No,16.0,3.0,2.0,80.0,0.0,5.0,3.0,3.0,5.0,2.0,1.0,0.0,55212.0,No
42,1928,29.0,Travel_Frequently,746.0,Sales,24.0,3.0,Technical Degree,1.0,3.0,Male,45.0,4.0,1.0,Sales Representative,1.0,Single,1091.0,10642.0,1.0,Y,No,17.0,3.0,4.0,80.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,13092.0,Yes
43,1317,50.0,Travel_Rarely,1322.0,Research & Development,28.0,3.0,Life Sciences,1.0,4.0,Female,43.0,3.0,4.0,Research Director,1.0,Married,16880.0,22422.0,4.0,Y,Yes,11.0,3.0,2.0,80.0,0.0,25.0,2.0,3.0,3.0,2.0,1.0,2.0,202560.0,No
44,1258,48.0,Travel_Rarely,969.0,Research & Development,2.0,2.0,Technical Degree,1.0,4.0,Male,76.0,4.0,1.0,Laboratory Technician,2.0,Single,2559.0,16620.0,5.0,Y,No,11.0,3.0,3.0,80.0,0.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,30708.0,No
45,875,42.0,Travel_Frequently,1271.0,Research & Development,2.0,1.0,Medical,1.0,2.0,Male,35.0,3.0,1.0,Research Scientist,4.0,Single,2515.0,9068.0,5.0,Y,Yes,14.0,3.0,4.0,80.0,0.0,8.0,2.0,3.0,2.0,1.0,2.0,2.0,30180.0,No
46,377,28.0,Travel_Rarely,1158.0,Research & Development,9.0,3.0,Medical,1.0,4.0,Male,94.0,3.0,1.0,Research Scientist,4.0,Married,2070.0,2613.0,1.0,Y,No,23.0,4.0,4.0,80.0,1.0,5.0,3.0,2.0,5.0,2.0,0.0,4.0,24840.0,No
47,2025,36.0,Travel_Frequently,688.0,Research & Development,4.0,2.0,Life Sciences,1.0,4.0,Female,97.0,3.0,2.0,Manufacturing Director,2.0,Divorced,5131.0,9192.0,7.0,Y,No,13.0,3.0,2.0,80.0,3.0,18.0,3.0,3.0,4.0,2.0,0.0,2.0,61572.0,No
48,543,52.0,Travel_Rarely,319.0,Research & Development,3.0,3.0,Medical,1.0,4.0,Male,39.0,2.0,3.0,Manufacturing Director,3.0,Married,7969.0,19609.0,2.0,Y,Yes,14.0,3.0,3.0,80.0,0.0,28.0,4.0,3.0,5.0,4.0,0.0,4.0,95628.0,No
49,24,38.0,Travel_Rarely,371.0,Research & Development,2.0,3.0,Life Sciences,1.0,4.0,Male,45.0,3.0,1.0,Research Scientist,4.0,Single,3944.0,4306.0,5.0,Y,Yes,11.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0,47328.0,No
50,1805,38.0,Non-Travel,1336.0,Human Resources,2.0,3.0,Human Resources,1.0,1.0,Male,100.0,3.0,1.0,Human Resources,2.0,Divorced,2592.0,7129.0,5.0,Y,No,13.0,3.0,4.0,80.0,3.0,13.0,3.0,3.0,11.0,10.0,3.0,8.0,31104.0,No
51,1239,40.0,Travel_Rarely,107.0,Sales,10.0,3.0,Technical Degree,1.0,2.0,Female,84.0,2.0,2.0,Sales Executive,2.0,Divorced,6852.0,11591.0,7.0,Y,No,12.0,3.0,2.0,80.0,1.0,7.0,2.0,4.0,5.0,1.0,1.0,3.0,82224.0,No
52,1641,40.0,Travel_Rarely,448.0,Research & Development,16.0,3.0,Life Sciences,1.0,3.0,Female,84.0,3.0,3.0,Manufacturing Director,4.0,Single,7945.0,19948.0,6.0,Y,Yes,15.0,3.0,4.0,80.0,0.0,18.0,2.0,2.0,4.0,2.0,3.0,3.0,95340.0,No
53,1443,47.0,Travel_Rarely,359.0,Research & Development,2.0,4.0,Medical,1.0,1.0,Female,82.0,3.0,4.0,Research Director,3.0,Married,17169.0,26703.0,3.0,Y,No,19.0,3.0,2.0,80.0,2.0,26.0,2.0,4.0,20.0,17.0,5.0,6.0,206028.0,No
54,970,37.0,Travel_Rarely,625.0,Sales,1.0,4.0,Life Sciences,1.0,1.0,Male,46.0,2.0,3.0,Sales Executive,3.0,Married,10609.0,14922.0,5.0,Y,No,11.0,3.0,3.0,80.0,0.0,17.0,2.0,1.0,14.0,1.0,11.0,7.0,127308.0,Yes
55,340,37.0,Travel_Rarely,1017.0,Research & Development,1.0,2.0,Medical,1.0,3.0,Female,83.0,2.0,1.0,Research Scientist,1.0,Married,3920.0,18697.0,2.0,Y,No,14.0,3.0,1.0,80.0,1.0,17.0,2.0,2.0,3.0,1.0,0.0,2.0,47040.0,No
56,1871,39.0,Travel_Rarely,835.0,Research & Development,19.0,4.0,Other,1.0,4.0,Male,41.0,3.0,2.0,Research Scientist,4.0,Divorced,3902.0,5141.0,8.0,Y,No,14.0,3.0,2.0,80.0,3.0,7.0,2.0,3.0,2.0,2.0,2.0,2.0,46824.0,No
57,1117,45.0,Non-Travel,1050.0,Sales,9.0,4.0,Life Sciences,1.0,2.0,Female,65.0,2.0,2.0,Sales Executive,3.0,Married,5593.0,17970.0,1.0,Y,No,13.0,3.0,4.0,80.0,1.0,15.0,2.0,3.0,15.0,10.0,4.0,12.0,67116.0,No
58,1464,31.0,Travel_Frequently,523.0,Research & Development,2.0,3.0,Life Sciences,1.0,2.0,Male,94.0,3.0,1.0,Laboratory Technician,4.0,Married,3722.0,21081.0,6.0,Y,Yes,13.0,3.0,3.0,80.0,1.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,44664.0,Yes
59,1941,49.0,Travel_Frequently,1064.0,Research & Development,2.0,1.0,Life Sciences,1.0,2.0,Male,42.0,3.0,5.0,Research Director,4.0,Married,19161.0,13738.0,3.0,Y,No,15.0,3.0,4.0,80.0,0.0,28.0,3.0,3.0,5.0,4.0,4.0,3.0,229932.0,No
60,1803,42.0,Travel_Rarely,1128.0,Research & Development,13.0,3.0,Medical,1.0,2.0,Male,95.0,4.0,2.0,Healthcare Representative,1.0,Married,5538.0,5696.0,5.0,Y,No,18.0,3.0,3.0,80.0,2.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,66456.0,No
61,450,54.0,Travel_Frequently,928.0,Research & Development,20.0,4.0,Life Sciences,1.0,4.0,Female,31.0,3.0,2.0,Research Scientist,3.0,Single,4869.0,16885.0,3.0,Y,No,12.0,3.0,4.0,80.0,0.0,20.0,4.0,2.0,4.0,3.0,0.0,3.0,58428.0,No
62,474,37.0,Travel_Rarely,1319.0,Research & Development,6.0,3.0,Medical,1.0,3.0,Male,51.0,4.0,2.0,Research Scientist,1.0,Divorced,5974.0,17001.0,4.0,Y,Yes,13.0,3.0,1.0,80.0,2.0,13.0,2.0,3.0,7.0,7.0,6.0,7.0,71688.0,No
63,827,42.0,Travel_Rarely,932.0,Research & Development,1.0,2.0,Life Sciences,1.0,4.0,Female,43.0,2.0,2.0,Manufacturing Director,4.0,Married,6062.0,4051.0,9.0,Y,Yes,13.0,3.0,4.0,80.0,1.0,8.0,4.0,3.0,4.0,3.0,0.0,2.0,72744.0,No
64,1677,49.0,Travel_Rarely,809.0,Research & Development,1.0,3.0,Life Sciences,1.0,3.0,Male,36.0,3.0,4.0,Manager,3.0,Single,15379.0,22384.0,4.0,Y,No,14.0,3.0,1.0,80.0,0.0,23.0,2.0,3.0,8.0,7.0,0.0,0.0,184548.0,No
65,1098,44.0,Travel_Rarely,1376.0,Human Resources,1.0,2.0,Medical,1.0,2.0,Male,91.0,2.0,3.0,Human Resources,1.0,Married,10482.0,2326.0,9.0,Y,No,14.0,3.0,4.0,80.0,1.0,24.0,1.0,3.0,20.0,6.0,3.0,6.0,125784.0,Yes
66,511,22.0,Travel_Rarely,253.0,Research & Development,11.0,3.0,Medical,1.0,1.0,Female,43.0,3.0,1.0,Research Scientist,2.0,Married,2244.0,24440.0,1.0,Y,No,13.0,3.0,4.0,80.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,26928.0,No
67,1612,45.0,Non-Travel,336.0,Sales,26.0,3.0,Marketing,1.0,1.0,Male,52.0,2.0,2.0,Sales Executive,1.0,Married,4385.0,24162.0,1.0,Y,No,15.0,3.0,1.0,80.0,1.0,10.0,2.0,3.0,10.0,7.0,4.0,5.0,52620.0,No
68,2061,36.0,Travel_Frequently,884.0,Research & Development,23.0,2.0,Medical,1.0,3.0,Male,41.0,4.0,2.0,Laboratory Technician,4.0,Married,2571.0,12290.0,4.0,Y,No,17.0,3.0,3.0,80.0,1.0,17.0,3.0,3.0,5.0,2.0,0.0,3.0,30852.0,No
69,372,45.0,Travel_Rarely,1385.0,Research & Development,20.0,2.0,Medical,1.0,3.0,Male,79.0,3.0,4.0,Healthcare Representative,4.0,Married,13496.0,7501.0,0.0,Y,Yes,14.0,3.0,2.0,80.0,0.0,21.0,2.0,3.0,20.0,7.0,4.0,10.0,161952.0,No
70,103,46.0,Travel_Rarely,945.0,Human Resources,5.0,2.0,Medical,1.0,2.0,Male,80.0,3.0,2.0,Human Resources,2.0,Divorced,5021.0,10425.0,8.0,Y,Yes,22.0,4.0,4.0,80.0,1.0,16.0,2.0,3.0,4.0,2.0,0.0,2.0,60252.0,No
71,819,33.0,Travel_Rarely,118.0,Sales,16.0,3.0,Marketing,1.0,1.0,Female,69.0,3.0,2.0,Sales Executive,1.0,Single,5324.0,26507.0,5.0,Y,No,15.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,3.0,2.0,0.0,2.0,63888.0,Yes
72,900,37.0,Travel_Frequently,1231.0,Sales,21.0,2.0,Medical,1.0,3.0,Female,54.0,3.0,1.0,Sales Representative,4.0,Married,2973.0,21222.0,5.0,Y,No,15.0,3.0,2.0,80.0,1.0,10.0,3.0,3.0,5.0,4.0,0.0,0.0,35676.0,No
73,1615,34.0,Travel_Frequently,426.0,Research & Development,10.0,4.0,Life Sciences,1.0,3.0,Male,42.0,4.0,2.0,Manufacturing Director,4.0,Divorced,4724.0,17000.0,1.0,Y,No,13.0,3.0,1.0,80.0,1.0,9.0,3.0,3.0,9.0,7.0,7.0,2.0,56688.0,No
74,1639,35.0,Travel_Rarely,737.0,Sales,10.0,3.0,Medical,1.0,4.0,Male,55.0,2.0,3.0,Sales Executive,1.0,Married,10306.0,21530.0,9.0,Y,No,17.0,3.0,3.0,80.0,0.0,15.0,3.0,3.0,13.0,12.0,6.0,0.0,123672.0,Yes
75,717,34.0,Travel_Rarely,1442.0,Research & Development,9.0,3.0,Medical,1.0,4.0,Female,46.0,2.0,3.0,Healthcare Representative,2.0,Single,8621.0,17654.0,1.0,Y,No,14.0,3.0,2.0,80.0,0.0,9.0,3.0,4.0,8.0,7.0,7.0,7.0,103452.0,No
76,1224,30.0,Travel_Rarely,853.0,Research & Development,7.0,4.0,Life Sciences,1.0,3.0,Male,49.0,3.0,2.0,Laboratory Technician,3.0,Divorced,3491.0,11309.0,1.0,Y,No,13.0,3.0,1.0,80.0,3.0,10.0,4.0,2.0,10.0,7.0,8.0,9.0,41892.0,No
77,1998,42.0,Travel_Rarely,557.0,Research & Development,18.0,4.0,Life Sciences,1.0,4.0,Male,35.0,3.0,2.0,Research Scientist,1.0,Divorced,5410.0,11189.0,6.0,Y,Yes,17.0,3.0,3.0,80.0,1.0,9.0,3.0,2.0,4.0,3.0,1.0,2.0,64920.0,No
78,1457,46.0,Travel_Rarely,377.0,Sales,9.0,3.0,Marketing,1.0,1.0,Male,52.0,3.0,3.0,Sales Executive,4.0,Divorced,10096.0,15986.0,4.0,Y,No,11.0,3.0,1.0,80.0,1.0,28.0,1.0,4.0,7.0,7.0,4.0,3.0,121152.0,Yes
79,1802,40.0,Travel_Rarely,616.0,Research & Development,2.0,2.0,Life Sciences,1.0,3.0,Female,99.0,3.0,1.0,Laboratory Technician,1.0,Married,3377.0,25605.0,4.0,Y,No,17.0,3.0,4.0,80.0,1.0,7.0,5.0,2.0,4.0,3.0,0.0,2.0,40524.0,No
80,558,40.0,Travel_Rarely,1398.0,Sales,2.0,4.0,Life Sciences,1.0,3.0,Female,79.0,3.0,5.0,Manager,3.0,Married,18041.0,13022.0,0.0,Y,No,14.0,3.0,4.0,80.0,0.0,21.0,2.0,3.0,20.0,15.0,1.0,12.0,216492.0,No
81,1311,30.0,Travel_Rarely,1138.0,Research & Development,6.0,3.0,Technical Degree,1.0,1.0,Female,48.0,2.0,2.0,Laboratory Technician,4.0,Married,4627.0,23631.0,0.0,Y,No,12.0,3.0,1.0,80.0,1.0,10.0,6.0,3.0,9.0,2.0,6.0,7.0,55524.0,No
82,1293,43.0,Travel_Rarely,531.0,Sales,4.0,4.0,Marketing,1.0,4.0,Female,56.0,2.0,3.0,Sales Executive,4.0,Single,10231.0,20364.0,3.0,Y,No,14.0,3.0,4.0,80.0,0.0,23.0,3.0,4.0,21.0,7.0,15.0,17.0,122772.0,No
83,1004,30.0,Travel_Rarely,138.0,Research & Development,22.0,3.0,Life Sciences,1.0,1.0,Female,48.0,3.0,1.0,Research Scientist,3.0,Married,2132.0,11539.0,4.0,Y,Yes,11.0,3.0,2.0,80.0,0.0,7.0,2.0,3.0,5.0,2.0,0.0,1.0,25584.0,Yes
84,1434,27.0,Travel_Rarely,1377.0,Research & Development,11.0,1.0,Life Sciences,1.0,2.0,Male,91.0,3.0,1.0,Laboratory Technician,1.0,Married,2099.0,7679.0,0.0,Y,No,14.0,3.0,2.0,80.0,0.0,6.0,3.0,4.0,5.0,0.0,1.0,4.0,25188.0,No
85,184,30.0,Travel_Rarely,1240.0,Human Resources,9.0,3.0,Human Resources,1.0,3.0,Male,48.0,3.0,2.0,Human Resources,4.0,Married,6347.0,13982.0,0.0,Y,Yes,19.0,3.0,4.0,80.0,0.0,12.0,2.0,1.0,11.0,9.0,4.0,7.0,76164.0,No
86,1163,34.0,Travel_Rarely,1400.0,Sales,9.0,1.0,Life Sciences,1.0,2.0,Female,70.0,3.0,2.0,Sales Executive,3.0,Married,5714.0,5829.0,1.0,Y,No,20.0,4.0,1.0,80.0,0.0,6.0,3.0,2.0,6.0,5.0,1.0,3.0,68568.0,No
